Australia, 0.0019
Qatar, 0.0030
Iran, 0.0015
Saudi Arabia, 0.0015
Japan, 0.0030
South Korea, 0.0030
Ecuador, 0.0050
Argentina, 0.1016
Brazil, 0.1523
Uruguay, 0.0149
Senegal, 0.0094
Tunisia, 0.0025
Cameroon, 0.0030
Ghana, 0.0050
Morocco, 0.0038
Netherlands, 0.0586
England, 0.0952
Wales, 0.0692
Poland, 0.0075
France, 0.1088
Denmark, 0.0263
Spain, 0.0846
Germany, 0.0692
Croatia, 0.0149
Belgium, 0.0586
Portugal, 0.0586
Serbia, 0.0075
Switzerland, 0.0094
USA, 0.0075
Mexico, 0.0075
Costa Rica, 0.0015
Canada, 0.0030
